Name,Age,Height,Market Value,img_url,Position,Team,Total played,Started,Minutes per game,Goals conceded per game,Saves per game,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Assists,Key passes per game,Accurate per game,Acc. long balls,Acc. crosses,Clean sheets,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Succ. dribbles,Total duels won,Aerial duels won,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-red,Red
Riko Simanjuntak,32,"1,58 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE5758_original_23457.png?1691052916,RW,Persija Jakarta,31,21,65,,,1,2002 min,0.03,0.5,0.2,2,1.1,18.0 (77%),0.5 (55%),0.6 (31%),,1.4,2.8,1,0.2,3,1.9 (68%),4.7 (38%),0.3 (29%),0.3,1.5,0.2,,1,0,0
Gustavo,27,"1,85 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/70_Gustavo_original_27101.png?1690777871,CF,Persija Jakarta,23,21,90,,,16,130 min,0.7,2.6,1.1,1,0.9,13.1 (72%),0.5 (61%),0.2 (22%),,1.4,1.7,0.3,1.2,12,2.7 (71%),10.0 (39%),1.7 (39%),1.7,2.3,0.8,,8,1,1
Ryo Matsamura,30,"1,66 m","Rp6,08B",https://img.a.transfermarkt.technology/portrait/big/226697-1646503562.JPG?lm=1,AMF,Persija Jakarta,33,33,84,,,10,277 min,0.3,1.9,0.7,8,1.2,21.5 (77%),1.2 (69%),0.4 (35%),,1.3,2.7,0.8,0.2,4,3.5 (67%),6.9 (42%),0.2 (32%),1.1,1.6,0.3,,3,0,0
Aji Kusuma,25,"1,77 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1716293945_original_25053.png?1690861391,CF,Persija Jakarta,21,2,31,,,2,323 min,0.1,0.8,0.1,0,0.2,2.8 (76%),0.0 (0%),0.2 (50%),,0.4,1,0.2,0,0,0.7 (54%),2.6 (33%),0.9 (46%),0.5,0.7,0.3,,2,0,0
Syahrian Abimanyu,25,"1,71 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1716520691_original_22361.png?1691049279,CMF,Persija Jakarta,25,17,60,,,1,1495 min,0.04,0.5,0.1,1,0.4,27.4 (88%),2.5 (63%),0.3 (41%),,2.2,4.2,1.9,0.8,4,0.4 (75%),3.0 (33%),0.4 (58%),1.6,0.9,0,,8,1,1
Maciej Gajos,33,"1,74 m","Rp3,48B",https://tmssl.akamaized.net//images/foto/galerie/maciej-gajos-1702528523-123894.jpeg,AMF,Persija Jakarta,28,28,83,,,5,463 min,0.2,1.5,0.4,6,0.9,25.6 (81%),1.7 (49%),0.2 (23%),,3,5.1,1.6,0.9,14,0.7 (70%),4.7 (38%),1.0 (65%),1.4,0.9,0.04,,5,0,0
Rio Fahmi,22,"1,70 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE21315368_original_31907.png?1690859301,RB,Persija Jakarta,21,17,79,,,0,0 min,0,0.4,0.05,1,0.3,26.3 (78%),2.1 (55%),0.6 (27%),,3,6.3,2.9,1.7,10,1.2 (54%),5.7 (37%),0.6 (43%),0.8,1.2,0.1,,1,0,0
Rayhan Hannan,20,"1,72 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE21095254_original_22163.png?1690861091,AMF,Persija Jakarta,25,10,45,,,0,0 min,0,0.8,0.1,2,0.4,9.5 (79%),0.7 (69%),0.0 (6%),,1.5,2.7,1.3,0.5,4,2.0 (77%),4.4 (37%),0.1 (20%),0.8,1,0.2,,7,0,0
Dony Pamungkas,19,"1,78 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE21021640_original_32226.png?1690861317,LM,Persija Jakarta,21,3,35,,,0,0 min,0,0.2,0.1,1,0.7,9.6 (85%),0.4 (56%),0.6 (44%),,1.6,2.8,0.8,0.4,8,1.9 (75%),3.3 (45%),0.2 (45%),0.1,0.5,0.2,,0,0,0
Firza Andika,25,"1,69 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1813125305_original_22391.png?1691049299,LB,Persija Jakarta,29,28,84,,,2,1217 min,0.07,0.9,0.2,2,0.4,30.2 (81%),2.0 (56%),0.4 (18%),,3.9,6.7,3.2,2.1,19,1.4 (60%),6.2 (37%),0.8 (48%),1.6,1,0.1,,6,2,2
Oliver Bias,23,"1,64 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE23203388_original_33262.png?1690860363,RM,Persija Jakarta,24,16,67,,,1,1614 min,0.04,0.7,0.1,0,0.3,21.5 (85%),0.8 (45%),0.2 (24%),,1.9,4.7,2.3,0.9,5,1.0 (64%),3.4 (32%),0.2 (25%),0.5,0.5,0,,3,0,0
Hanif Abdurrauf Sjahbandi,27,"1,81 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE6975_original_22962.png?1691052796,DMF,Persija Jakarta,26,20,71,,,3,616 min,0.1,1.1,0.3,3,0.3,25.2 (83%),1.5 (45%),0.1 (20%),,2.3,5.2,1.6,0.7,12,1.2 (70%),4.8 (36%),0.6 (30%),1.4,1.2,0.04,,4,1,1
Resky Fandi Witriawan,24,"1,73 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1618903198_original_23458.png?1690860533,DMF,Persija Jakarta,32,24,78,,,0,0 min,0,0.5,0.2,0,0.3,31.3 (90%),1.0 (58%),0.1 (50%),,2.5,7.5,3,0.7,13,0.2 (45%),5.0 (34%),1.0 (59%),2,1,0,,8,0,0
Sandi Samosir,22,"1,80 m","Rp869,08M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTq8gufJzHLZ-lg0LbxZUC4NlCX03vx_kTn2g&s,LM,Persija Jakarta,11,1,24,,,0,0 min,0,0.4,0.09,0,0.2,3.5 (75%),0.0 (0%),0.2 (40%),,0.5,0.4,0.2,0.2,0,0.4 (57%),1.3 (29%),0.1 (17%),0.4,0.3,0.2,,2,0,0
Rizky Ridho,22,"1,83 m","Rp7,39B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/rr74_original_23519.png?1690778597,CB,Persija Jakarta,24,23,95,,,1,2279 min,0.04,0.5,0.3,1,0.2,45.2 (87%),4.3 (53%),0.1 (60%),,4.5,9.6,2.8,2.3,9,0.3 (86%),4.5 (34%),1.7 (48%),1.4,0.3,0.08,0.08,8,1,1
Ondrej Kudela,37,"1,82 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE22205626_original_37671.png?1690860211,CB,Persija Jakarta,27,27,98,,,3,878 min,0.1,0.4,0.2,3,0.3,40.7 (89%),4.2 (66%),0.2 (40%),,3.7,7,1.4,1.9,9,0.4 (92%),3.4 (44%),0.8 (49%),0.7,0.7,0,0.04,4,0,0
Muhammad Ferarri,21,"1,81 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE2012809448_original_27790.png?1690860859,CB,Persija Jakarta,18,18,90,,,2,814 min,0.1,0.5,0.3,0,0.2,41.4 (90%),2.5 (58%),0.2 (43%),,3.5,7.6,2.5,2.3,6,0.2 (60%),4.5 (35%),1.1 (48%),1.6,0.8,0,,5,1,1
Hansamu Yama Pranata,29,"1,81 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE6426_original_22324.png?1691052821,CB,Persija Jakarta,14,12,70,,,0,0 min,0,0.1,0,1,0.07,31.3 (85%),1.6 (44%),0.0 (0%),,3.6,7.4,1.2,1.6,5,0.6 (100%),4.6 (45%),1.8 (53%),0.9,0.8,0.07,,4,0,0
Tony Sucipto,38,"1,68 m","Rp173,82M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE414_original_23444.png?1691049238,DMF,Persija Jakarta,5,0,7,,,0,0 min,0,0,0,0,0,1.4 (0%),0.2 (100%),0.0 (0%),,0.6,0.6,0.6,0,1,0.0 (0%),0.4 (33%),0.2 (0%),0,0,0,,0,0,0
Maman Abdurrahman,32,"1,77 m","Rp173,82M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE270_original_23465.png?1691053133,CB,Persija Jakarta,4,1,26,,,0,0 min,0,0.3,0,0,0,6.3 (89%),0 (0%),0.0 (0%),,0.8,1.3,0.3,1.3,2,0.0 (0%),1.3 (45%),0.8 (50%),0,0,0,,0,0,0
Akbar Arjunsyah,22,"1,75 m","Rp869,08M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE22280788_original_55480.png?1690860785,CB,Persija Jakarta,18,7,52,,,2,471 min,0.1,0.3,0.2,0,0,17.1 (87%),1.1 (56%),0.0 (0%),,2.4,5.2,1.7,1.2,6,0.1 (100%),2.7 (29%),1.1 (41%),1.1,0.06,0,,1,0,0
Andritany Ardhiyasa,32,"1,78 m","RP3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE3449_original_23438.png?1691053050,GK,Persija Jakarta,32,31,96,1.1,2.9 (72%),0,0 min,0,0,0,0,0.03,16.4 (83%),3.9 (57%),0.0 (0%),7,1.9,4,0.2,0.6,4,0.0 (100%),0.8 (79%),0.5 (88%),0,0.4,0,7.8,1,0,0
Cahya Supriadi,21,"1,79 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-cahya-supriadi-230702-1688240149_original_27872.jpg?1698313282,GK,Persija Jakarta,3,3,100,1.7,2.3 (58%),0,0 min,0,0,0,0,0,11.3 (77%),2.0 (40%),0.0 (0%),0,2.7,3.7,0,0.7,0,0.0 (0%),0.0 (0%),0.0 (0%),0.3,0,0,7,0,0,0
Flavio Silva,28,"1,84 m","Rp4,78B",https://persikfc.id/_next/image?url=https%3A%2F%2Fapi.persikfc.id%2Fuploads%2F77---FLAVIO-G-SILVA---W.JPG&w=3840&q=75,CF,Persik Kediri,29,29,90,,,23,114 min,0.8,3.3,1.5,3,1.2,13.2 (75%),0.6 (64%),0.3 (23%),,1.9,2.7,0.3,0.6,12,2.7 (65%),8.7 (39%),1.3 (48%),1.1,1.7,0.4,,2,0,0
Miftahul Hamdi,28,"1,74 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE5400_original_17900.png?1691057024,RW,Persik Kediri,9,1,20,,,0,0 min,0,0.2,0,0,0.2,4.9 (92%),0 (0%),0.2 (67%),,0.1,1.3,0.8,0.1,0,0.3 (60%),1.1 (28%),0.2 (29%),0.8,0.2,0,,0,0,0
Mohammad Khanafi,26,"1,71 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1619996957_original_59095.png?1690864733,CF,Persik Kediri,25,5,38,,,7,136 min,0.3,1.1,0.6,1,0.3,3.9 (74%),0.1 (75%),0.0 (25%),,0.7,0.6,0.2,0.3,4,0.4 (50%),2.8 (34%),1.2 (40%),0.6,0.6,0.4,,1,0,0
Rohit Chand,32,"1,78 m","Rp4,78B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE5526_original_23448.png?1691057285,DMF,Persik Kediri,25,24,91,,,1,2274 min,0.04,0.4,0.2,1,0.4,34.4 (86%),2.1 (58%),0.0 (0%),,4.7,10.5,2.6,1.8,13,0.7 (82%),6.6 (40%),1.5 (51%),1.3,1,0,,6,0,0
Jeam Kelly Sroyer,21,"1,69 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE21051656_original_32370.png?1690863902,RW,Persik Kediri,23,12,57,,,3,440 min,0.1,1,0.6,3,0.9,9.3 (74%),0.7 (65%),0.5 (33%),,1.3,2.7,1.5,0.2,1,1.9 (75%),5.4 (36%),0.6 (25%),1.2,1.1,0.3,,1,0,0
Ze Valente,30,"1,80 m","Rp5,65B",https://persikfc.id/_next/image?url=https%3A%2F%2Fapi.persikfc.id%2Fuploads%2F2_20231206_120355_0001.png&w=3840&q=75,AMF,Persik Kediri,28,24,86,,,3,803 min,0.1,1.6,0.5,8,1.4,37.8 (88%),3.5 (72%),0.8 (63%),,2.3,4.8,1.1,0.3,8,1.8 (83%),6.1 (41%),0.1 (22%),1.6,1.8,0,,3,0,0
Irfan Bachdim,35,"1,71 m","Rp869,08M",https://upload.wikimedia.org/wikipedia/commons/0/09/IBachdim.jpg,RW,Persik Kediri,11,5,46,,,0,0 min,0,0.2,0,0,0.5,10.5 (80%),0.2 (22%),0.3 (33%),,0.5,1.5,0.6,0.2,1,1.0 (69%),3.1 (35%),0.2 (67%),1.3,1.1,0.09,,1,0,0
Renan Silva,35,"1,76 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1818651428_original_17925.png?1691053278,AMF,Persik Kediri,28,28,88,,,6,409 min,0.2,3.5,1.2,5,1.9,22.1 (76%),3.5 (60%),0.4 (26%),,0.8,2.2,0.6,0.07,6,2.9 (87%),6.7 (48%),0.3 (26%),1.1,2,0.04,,6,1,1
Muhammad Supriadi,22,"1,64 m","Rp2,61B",https://www.footballdatabase.eu/images/photos/players/a_392/392024.jpg,RW,Persik Kediri,29,21,55,,,0,0 min,0,0.7,0.1,1,0.5,5.2 (68%),0.2 (42%),0.6 (34%),,1,1.9,0.9,0.2,3,1.8 (69%),4.3 (38%),0.2 (30%),0.6,1.7,0.2,,2,0,0
Fitra Ridwan,30,"1,69 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE5013_original_24808.png?1691057211,CMF,Persik Kediri,19,0,20,,,1,385 min,0.05,0.5,0.1,0,0.6,7.9 (82%),0.8 (62%),0.2 (33%),,0.3,0.9,0.3,0.05,1,0.3 (60%),1.1 (32%),0.1 (20%),0.3,0.3,0,,0,0,0
Ferinando Pahabol,32,"1,63 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE2756_original_24657.png?1691057078,LW,Persik Kediri,15,8,42,,,2,312 min,0.1,1.2,0.3,1,0.3,8.7 (80%),0.5 (42%),0.5 (53%),,0.7,1.5,0.7,0.3,0,1.4 (75%),3.0 (38%),0.0 (0%),0.7,0.5,0.1,,0,0,0
Faris Aditama,36,"1,75 m","Rp173,82M",https://www.footballdatabase.eu/images/photos/players/a_225/225705.jpg,LW,Persik Kediri,16,4,36,,,1,573 min,0.06,0.7,0.4,1,0.1,5.6 (66%),0.8 (50%),0.3 (31%),,1.1,1.9,1.1,0.3,0,0.4 (70%),2.0 (31%),0.4 (46%),0.7,0.5,0.06,,3,0,0
Adi Eko Jayanto,30,"1,73 m","Rp1,74B",https://www.footballdatabase.eu/images/photos/players/a_407/407809.jpg,CMF,Persik Kediri,25,16,64,,,1,1602 min,0.04,0.4,0.1,0,0.1,21.5 (86%),1.0 (49%),0.0 (0%),,3.3,6.7,1.6,0.8,10,0.5 (71%),4.4 (36%),0.7 (41%),1.6,0.8,0,,5,1,1
Bayu Otto,24,"1,63 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1918985595_original_23606.png?1690861936,CMF,Persik Kediri,31,30,87,,,2,1347 min,0.06,0.5,0.1,3,1,23.6 (85%),0.6 (60%),0.1 (31%),,3,5.8,1.6,0.5,12,1.2 (78%),6.8 (42%),0.7 (47%),1.4,3.2,0.03,,7,0,0
Ahmad Agung,28,"1,80 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE7604_original_24832.png?1691057169,DMF,Persik Kediri,15,4,45,,,0,0 min,0,0.2,0,0,0.07,14.5 (87%),1.3 (57%),0.0 (0%),,2.1,3.9,0.7,0.9,3,0.1 (67%),2.5 (42%),0.9 (57%),1.1,0.6,0.07,,3,1,1
Al Hamra Hehanusa,25,"1,78 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1619997501_original_23446.png?1690862809,CB,Persik Kediri,29,29,96,,,1,2776 min,0.03,0.3,0.2,1,0.2,30.0 (87%),2.3 (54%),0.0 (0%),,6.8,8.7,1.4,4.1,17,0.0 (0%),3.0 (36%),1.2 (47%),0.7,0.03,0,,5,0,0
Anderson Carneiro,31,"1,87 m","Rp3,91B",https://img.a.transfermarkt.technology/portrait/big/691380-1702284137.jpeg?lm=1,CB,Persik Kediri,28,28,96,,,5,536 min,0.2,1.2,0.5,1,0.1,27.3 (84%),2.7 (51%),0.2 (63%),,4.3,9,1.8,1.7,20,0.6 (80%),6.4 (44%),2.3 (64%),1.5,0.8,0.1,,8,0,0
Simen Lyngbo,26,"1,80 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE23270734_original_58818.png?1690863010,RB,Persik Kediri,25,20,67,,,1,1663 min,0.04,0.2,0.08,1,0.2,11.5 (69%),0.7 (33%),0.4 (29%),,2.6,4,1.6,1.2,4,0.1 (50%),2.2 (26%),0.6 (38%),0.8,0.2,0.04,,6,0,0
Yusuf Meilana,26,"1,76 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1711389466_original_23597.png?1690862077,LB,Persik Kediri,31,31,94,,,0,0 min,0,0.5,0.1,0,0.4,24.7 (77%),1.6 (40%),0.3 (18%),,4,8.7,4,1.5,14,1.7 (70%),7.3 (40%),0.4 (48%),1.4,1.2,0.03,,8,0,0
Rangga Widiansyah,22,"1,66 m","Rp434,54M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE21024640_original_31910.png?1690864137,LB,Persik Kediri,5,4,78,,,0,0 min,0,0,0,0,0.8,22.0 (72%),1.4 (35%),0.8 (40%),,3.4,6.2,4,1.8,0,1.0 (83%),5.0 (31%),0.6 (60%),1,0,0,,1,0,0
Nuri Fasya,25,"1,71 m","Rp869,08M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-ahmad-nuri-fasya-230627-1687823934_original_26196.jpg?1698311612,RB,Persik Kediri,11,4,51,,,0,0 min,0,0.09,0,0,0.5,13.2 (73%),0.5 (24%),0.7 (44%),,2.5,3.9,1.8,1,5,0.6 (70%),2.9 (30%),0.6 (39%),1.1,0.7,0.09,,4,0,0
Vava Mario Yagalo,31,"1,84 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE6382_original_23594.png?1691057357,CB,Persik Kediri,12,5,57,,,0,0 min,0,0.4,0.08,0,0,12.7 (78%),0.9 (35%),0.0 (0%),,2.8,4.9,0.6,1.3,6,0.1 (50%),2.4 (37%),1.5 (58%),0.8,0.6,0,,3,1,1
Agil Munawar,28,"1,69 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE6972_original_22980.png?1691057318,RB,Persik Kediri,14,9,74,,,0,0 min,0,0.07,0.07,1,0.3,14.6 (71%),1.8 (53%),0.5 (35%),,3.6,6.6,3.7,0.9,10,0.9 (63%),3.6 (31%),0.0 (0%),1.2,1.1,0,,2,0,0
Dikri Yusron Afafa,29,"1,80 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE6042_original_22287.png?1690863646,GK,Persik Kediri,25,24,94,1.5,2.4 (61%),0,0 min,0,0,0,1,0,8.4 (74%),2.5 (48%),0.0 (0%),8,2.1,3.6,0.2,0.5,4,0.0 (0%),0.5 (60%),0.3 (88%),0,0.3,0,7.5,1,0,0
Miswar Saputra,28,"1,83 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/Miswar_original_22321.webp?1670210165,GK,Persik Kediri,1,1,67,0,0,0,0 min,0,0,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0,0,1,0,0,0,0.0 (0%),1.0 (100%),1.0 (100%),0,1,0,4,0,0,0
Eko Saputro,25,"1,82 m","Rp869,08M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE22246649_original_33507.png?1690864059,GK,Persik Kediri,2,1,76,1.5,2.0 (57%),0,0 min,0,0,0,0,0,5.5 (79%),2.5 (63%),0.0 (0%),0,1,2,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0,0,0,4.5,0,0,0
Gustavo Tocantins,28,"1,79 m","Rp4,78B",https://img.a.transfermarkt.technology/portrait/big/346767-1518184118.jpg?lm=1,CF,PS Barito Putera,34,33,93,,,13,244 min,0.4,1.7,1,4,0.8,16.2 (82%),0.6 (65%),0.2 (28%),,1.2,2.5,0.7,0.5,5,1.4 (79%),7.4 (41%),2.3 (39%),1.2,1.7,0.4,,3,0,0
Eksel Runtukahu,25,"1,75 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-eksel-timothy-joseph-runtukahu-230628-1687966327_original_25882.jpg?1698316020,CF,PS Barito Putera,23,8,47,,,7,154 min,0.3,1.3,0.7,2,0.3,4.0 (74%),0.1 (67%),0.2 (31%),,0.5,1.1,0.3,0.2,3,0.3 (47%),2.7 (30%),1.0 (35%),0.9,0.7,0.2,,2,0,0
Devid,28,"1,90 m","Rp2,61B",https://img.a.transfermarkt.technology/portrait/big/647075-1606634076.JPG?lm=1,CF,PS Barito Putera,8,3,40,,,0,0 min,0,1.6,0.3,1,0.5,5.1 (82%),0 (0%),0.1 (50%),,0.6,1.8,0,0.3,1,1.6 (87%),5.5 (44%),2.0 (47%),0.5,1,0,,1,0,0
Abdul Aziz,23,"1,73 m","Rp434,54M",https://img.a.transfermarkt.technology/portrait/big/1200703-1708059223.png?lm=1,RW,PS Barito Putera,5,3,38,,,0,0 min,0,0.4,0,0,0,4.6 (72%),1.0 (71%),0.0 (0%),,1.4,1.8,1,0.6,1,0.6 (75%),3.8 (39%),0.6 (50%),1.6,0.8,0.2,,1,0,0
Bagus Kahfi,22,"1,69 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-amiruddin-bagus-kahfi-alfikri-230628-1687966542_original_24750.jpg?1698315926,RW,PS Barito Putera,33,18,53,,,2,872 min,0.06,1,0.3,4,0.6,8.2 (73%),0.3 (43%),0.4 (45%),,1.1,2.3,1,0.2,4,2.1 (65%),4.8 (41%),0.5 (49%),0.9,0.9,0,,2,0,0
Iqbal Gwijangge,17,"1,85 m","Rp869,08M",https://img.a.transfermarkt.technology/portrait/big/1032764-1699677408.JPG?lm=1,CB,PS Barito Putera,3,0,24,,,0,0 min,0,0,0,0,0,11.7 (95%),0.0 (0%),0.0 (0%),,2.7,3.3,0.3,0.7,0,0.0 (0%),1.0 (38%),0.0 (0%),0.7,0.3,0,,0,0,0
Natanael Siringoringo,24,"1,68 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/Ntanael_Siringo_Ringo_original_25890.png?1670222191,RW,PS Barito Putera,9,3,34,,,1,310 min,0.1,0.8,0.3,0,0.7,11.0 (89%),0.6 (71%),0.0 (0%),,2.3,3.8,0.9,0,0,1.3 (75%),4.2 (45%),0.3 (60%),0.7,1.2,0,,0,0,0
Murilo,29,"1,80 m","Rp5,21B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-murilo-otavio-mendes-230628-1687926082_original_61530.jpg?1698316381,LW,PS Barito Putera,29,25,83,,,6,400 min,0.2,2.9,0.8,1,0.6,17.1 (79%),0.7 (50%),0.6 (29%),,2.1,4.4,1,0.6,3,4.2 (72%),11.6 (48%),1.1 (44%),2.7,4.4,0.2,,6,0,0
Mike Ott,29,"1,67 m","Rp4,78B",https://img.a.transfermarkt.technology/portrait/big/196778-1470047264.jpg?lm=1,AMF,PS Barito Putera,33,30,83,,,6,454 min,0.2,1.6,0.7,3,0.8,23.3 (80%),0.9 (47%),0.2 (14%),,1.2,2.9,0.9,0.2,6,1.0 (50%),3.5 (28%),0.2 (19%),0.9,0.9,0.09,,6,0,0
Rizky Rizaldi Pora,34,"1,71 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-rizky-rizaldi-pora-230628-1687931774_original_24748.jpg?1698316601,LW,PS Barito Putera,32,18,53,,,1,1689 min,0.03,0.6,0.3,7,1.7,11.1 (74%),0.7 (39%),0.9 (38%),,0.9,1.8,0.8,0.3,3,1.7 (73%),2.8 (37%),0.2 (42%),0.6,0.5,0.2,,2,1,1
Bayu Pradana Andriatmoko,33,"1,80 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-bayu-pradana-andriatmoko-230628-1687919294_original_24735.jpg?1698315979,DMF,PS Barito Putera,30,30,98,,,2,1469 min,0.07,1,0.2,2,0.3,33.1 (87%),3.0 (61%),0.1 (43%),,2.5,7,1.8,1,12,0.2 (70%),4.3 (38%),1.4 (58%),1.6,0.6,0.03,0.03,8,0,0
Patrick Alfredo Womsiwor,23,"1,70 m","Rp434,54M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-patrick-alfredo-womsiwor-230628-1687967986_original_24658.jpg?1698316422,AMF,PS Barito Putera,1,1,49,,,0,0 min,0,1,0,0,1,11.0 (69%),0 (0%),0.0 (0%),,0,1,0,0,0,1.0 (100%),2.0 (33%),0.0 (0%),3,0,0,,0,0,0
Hasyim Kipuw,36,"1,80 m","Rp173,82M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-hasim-kipuw-230628-1687931595_original_22397.jpg?1698316152,CB,PS Barito Putera,29,18,57,,,1,1858 min,0.03,0.4,0.1,0,0.3,14.6 (80%),1.5 (48%),0.1 (30%),,1.9,4.4,1.9,0.4,3,0.4 (73%),2.3 (31%),0.5 (50%),1,0.2,0,,1,0,0
Bagas Kaffa,22,"1,74 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1816660766_original_24757.png?1692342375,RB,PS Barito Putera,21,20,91,,,2,960 min,0.1,0.7,0.3,1,0.6,21.0 (76%),1.3 (45%),0.2 (15%),,4.3,8,3.8,0.8,12,1.0 (49%),5.4 (35%),0.7 (56%),1.1,0.7,0,,7,0,0
Renan Alves,31,"1,91 m","Rp5,21B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-renan-da-silva-alves-230628-1687920277_original_27023.jpg?1698316448,CB,PS Barito Putera,28,28,96,,,6,449 min,0.2,2,0.6,1,0.1,20.5 (74%),3.5 (50%),0.0 (25%),,6.9,9.6,1.3,3.1,22,0.4 (69%),7.5 (50%),3.6 (64%),1,0.9,0.2,0.1,6,1,1
Carli de Murga,35,"1,80 m","Rp1,30B",https://img.a.transfermarkt.technology/portrait/big/228984-1629103118.jpg?lm=1,CB,PS Barito Putera,22,21,84,,,0,0 min,0,0.2,0.09,0,0.05,21.5 (85%),1.7 (54%),0.0 (0%),,4,6.8,0.9,1.8,12,0.2 (80%),3.3 (38%),1.0 (46%),1,0.6,0,,4,0,0
