Name,Age,Height,Market Value,img_url,Position,Team,Total played,Started,Minutes per game,Goals conceded per game,Saves per game,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Assists,Key passes per game,Accurate per game,Acc. long balls,Acc. crosses,Clean sheets,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Succ. dribbles,Total duels won,Aerial duels won,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-red,Red
Francisco Rivera,29,"1,70 m","Rp6,95B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-francisco-israel-rivera-davalos-230628-1687905117_original_61560.jpg?1698310240,CMF,Madura United FC,35,35,93,,,9,382 min,0.3,2,0.7,10,2.1,26.2 (79%),1.1 (49%),0.8 (42%),,1.5,4.1,1.3,0.1,12,1.9 (66%),7.1 (39%),0.5 (31%),1.8,1.4,0.1,,10,0,0
Cleberson,31,"1,85 m","Rp5,65B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-cleberson-martins-de-souza-230628-1687952118_original_37742.JPG?1698309815,CB,Madura United FC,36,36,93,,,1,3470 min,0.03,0.7,0.08,1,0.1,41.7 (87%),5.1 (62%),0.1 (71%),,5.1,9.1,1.3,4.1,25,0.3 (92%),6.0 (47%),3.2 (63%),1.1,0.5,0.03,0.3,4,0,0
Jacob Mahler,24,"1,84 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-jacob-william-mahler-230701-1688196170_original_33224.jpg?1698310320,DMF,Madura United FC,33,31,91,,,1,3000 min,0.03,0.3,0.2,0,0.6,30.6 (87%),1.4 (48%),0.1 (57%),,4.4,8,2.7,1.8,19,0.3 (58%),6.0 (39%),1.7 (63%),1.7,1.4,0.06,,11,0,0
Malik Risaldi,27,"1,71 m","Rp3,48B",https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2024/05/19/selebrasi-penyerang-madura-unite-20240519111835.jpg,RW,Madura United FC,35,20,75,,,10,261 min,0.3,2,1.1,4,0.7,16.9 (80%),0.6 (51%),0.7 (40%),,1.5,2.4,1.4,0.6,2,1.8 (60%),4.7 (33%),0.6 (40%),1.2,1,0.06,,6,0,0
Dodi Alexvan Djin,25,"1,83 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-dodi-alekvan-djin-230627-1687812396_original_23618.jpg?1698309830,RB,Madura United FC,24,17,66,,,0,0 min,0,0.3,0.08,1,0.4,18.0 (80%),1.0 (45%),0.3 (32%),,2.3,4.5,3.1,0.9,10,1.4 (67%),3.5 (31%),0.4 (36%),0.9,0.4,0.08,,1,0,0
Fachrudin Wahyudi Aryanto,35,"1,84 m","Rp3,04B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtMs5rcwT1IuMI8QoXeNyUyl_RN6EiEWLcmg&s,CB,Madura United FC,34,33,93,,,1,3170 min,0.03,0.2,0.06,0,0.06,34.8 (89%),2.5 (52%),0.0 (100%),,4.7,8.5,1.3,3,21,0.1 (100%),4.5 (42%),2.0 (54%),1.2,0.3,0,,7,1,1
Ricki Ariansyah,27,"1,67 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-ricki-ariansyah-230627-1687811678_original_25805.jpg?1698311245,CMF,Madura United FC,22,11,50,,,0,0 min,0,1,0.3,0,0.4,20.1 (86%),1.5 (59%),0.1 (43%),,2,3.4,0.9,0.6,7,0.0 (25%),2.3 (32%),0.8 (53%),0.9,0.5,0,,1,0,0
Dalberto,29,"1,79 m","Rp2,17B",https://img.a.transfermarkt.technology/portrait/big/519891-1699057558.jpg?lm=1,CF,Madura United FC,16,16,95,,,5,302 min,0.3,2.5,0.6,1,0.7,13.9 (72%),0.3 (63%),0.1 (11%),,1.7,1.8,0.5,1.1,8,3.1 (64%),8.0 (36%),1.6 (39%),1.3,0.8,0.3,,3,0,0
Lucas Frigeri,35,"1,94 m","Rp2,17B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcOhPjtWD9q_JBK8OkmdMSt5dynBi9kArrWQ&s,GK,Madura United FC,17,17,97,1.2,3.2 (72%),0,0 min,0,0,0,0,0,12.1 (86%),2.9 (64%),0.0 (0%),7,1.7,3.7,0,0.8,4,0.0 (0%),0.7 (100%),0.6 (100%),0,0.1,0,6.7,4,0,0
Satria Tama,27,"1,83 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-satria-tama-hardianto-230627-1687847640_original_22348.jpg?1698311350,GK,Madura United FC,8,7,93,2,2.5 (56%),0,0 min,0,0,0,0,0,10.0 (86%),2.3 (62%),0.0 (0%),,2.1,3.9,0.1,0.3,1,0.0 (0%),0.3 (67%),0.1 (50%),0,0,0,8.6,1,0,0
Salim Tuharea,22,"1,70 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-salim-akbar-tuharea-230627-1687839166_original_59890.jpg?1698311311,LW,Madura United FC,17,14,52,,,1,892 min,0.06,0.5,0.2,0,0.4,7.9 (84%),0.0 (0%),0.3 (50%),,1.3,2,1.4,0.5,2,1.4 (68%),3.9 (30%),0.3 (24%),1.5,0.9,0.4,,2,0,0
Muhammad Anwar Rifa'i,23,"1,80 m","Rp434,54M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbTL-6CDBn0IrRIR0mdpdpdF6oM7WE7UMhVg&s,CB,Madura United FC,9,2,48,,,0,0 min,0,0,0,0,0.1,14.4 (80%),0.9 (38%),0.1 (33%),,3.4,5.1,1.6,1.8,7,0.1 (100%),2.9 (48%),0.7 (67%),0.7,0.4,0,,1,0,0
Novan Sasongko,34,"1,70 m","Rp434,54M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-novan-setya-sasongko-230627-1687810720_original_22328.jpg?1698311056,LB,Madura United FC,24,19,74,,,0,0 min,0,0.1,0,2,0.2,20.6 (80%),1.8 (52%),0.8 (50%),,2.7,5.2,2.7,1.5,7,0.5 (92%),3.8 (32%),1.3 (60%),1.4,0.6,0.04,,9,1,1
Beto,43,"1,75 m","Rp173,82M",https://kabarmadura.id/wp-content/uploads/2023/05/Beto-Goncalves.jpg,CF,Madura United FC,9,1,29,,,1,257 min,0.1,0.4,0.2,0,0.1,3.9 (78%),0.1 (50%),0.2 (50%),,0.4,0.3,0.2,0.1,1,0.4 (100%),1.8 (36%),0.6 (45%),0.1,0.2,0.1,,0,0,0
Guntur Ariyadi,37,"1,74 m","Rp173,82M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-guntur-ariyadi-230627-1687810944_original_22357.jpg?1698310273,RB,Madura United FC,11,2,37,,,0,0 min,0,0,0,0,0,11.4 (84%),0.6 (37%),0.2 (100%),,1.5,3.5,1.1,0.7,4,0.1 (100%),1.8 (32%),0.4 (44%),0.8,0.3,0,,2,0,0
Muhammad Iksan Lestaluhu,20,"1,67 m","Rp173,82M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muhammad-iksan-lestaluhu-230709-1688869879_original_62236.jpg?1698310909,LB,Madura United FC,2,1,63,,,0,0 min,0,0.5,0,0,1,18.0 (84%),0.5 (25%),1.0 (67%),,2,6,1.5,3,1,0.0 (0%),3.0 (35%),1.0 (50%),1,1,0,,0,0,0
Wawan Hendrawan,41,"1,78 m","Rp173,82M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-wawan-hendrawan-230708-1688765868_original_17874.jpg?1698311423,GK,Madura United FC,13,13,99,1,3.3 (77%),0,0 min,0,0,0,0,0,12.8 (88%),2.7 (66%),0.0 (0%),6,1.4,4.6,0.2,0.8,6,0.1 (100%),1.1 (74%),0.8 (83%),0.08,0.3,0,11.2,0,0,0
